Id,Title,Company,Location,Summary
https://kr.indeed.com/viewjob?jk=9b166f9dafe73d56 ,Sr. Market Development Specialist,BD,서울,"promotes long term business opportunities, while supporting short term sales cycles... Manage long term projects as like..."
https://kr.indeed.com/viewjob?jk=a997ed73634b048f ,AWS Korea Startup ISR Manager,Amazon Web Services Korea LLC,서울,revenue target · Develop and execute goals to drive long term strategy with startups · Lead the team with engagements...
https://kr.indeed.com/viewjob?jk=add4dbdea57f6d81 ,"Manager II, Geographic Sales",H.B. Fuller,서울,"market trends, uncovering unmet needs, building short & long term business plans... leading the execution... business..."
https://kr.indeed.com/viewjob?jk=fef278e3b64dc225 ,Synthesis Quality Engineer - Liquid Poly...,Dupont,충청남도 천안,"during synthesis, final quality check result and analyze long term quality data to identify opportunity to improve Improve..."
https://kr.indeed.com/viewjob?jk=24a6c8104ca2ca94 ,Security Service_SoC Manager (계약직),IBM,서울,"apparent security breaches •Play a significant role in long- term SOC strategy and planning, including initiatives geared..."
https://kr.indeed.com/viewjob?jk=3bb3b5648ace284c ,Project Manager (Busan),인터커넥션,부산,"appropriately utilized, and short and long term schedules and goals are achieved. Experience with communications..."
https://kr.indeed.com/viewjob?jk=951c850d246f098e ,"Director, Front-end Engineering (Product...",Coupang,서울,"short, mid, and long- term strategies... deliver products. Draft a mid and long- term roadmap to turn Coupang's PC and mobile..."
https://kr.indeed.com/viewjob?jk=f0fa654ed3cffd26 ,"Senior Specialist, Global Key Accounts,...",Adidas,서울,together to achieve customers annual sales plan and set a mid- term plan to grow the both companies business... right...
https://kr.indeed.com/viewjob?jk=515cd9e218bfb136 ,UX Project Manager,Asiance,서울,품권 지급 Working from home Leaving work at 4 o'clock on Long- term employee Chuseok & every Wednesday (Flexible) the last Friday...
https://kr.indeed.com/viewjob?jk=555ec1d49a15770b ,Assistant Director of Sales,"Marriott International, Inc",서울,"related... sales function... focus on building long- term, value-based customer relationships that enable achievement..."
https://kr.indeed.com/viewjob?jk=ec6aac7c2bf8048c ,Product Marketing Manager,Cognex Corporation,서울,"strategic product roadmap... company (e.g., long- term strategic plan) Knowledge, Skills, and Abilities: Excellent..."
https://kr.indeed.com/viewjob?jk=c7cc8468d300361c ,"Senior Manager, Client Engagement",Burberry,서울,mindset is core to our business and key to our long- term success. JOB PURPOSE Senior Client Engagement Manager drives...
https://kr.indeed.com/viewjob?jk=5340876f2f7f70ad ,Marketing Manager - Korea - Field Market...,Aveva,서울,Korea’s business vision for short terms (2-3 year) and longer term (>3 years) Tactical (i.e. Demand/Pipeline Generation...
https://kr.indeed.com/viewjob?jk=cdedbf8b4c337434 ,KR_HP_Compliance Manager,Boehringer Ingelheim,대한민국,"humans and animals... family owned company, we focus on long term performance. We are powered by 50,000 employees globally..."
https://kr.indeed.com/viewjob?jk=b627caef6809bdef ,[Stylenanda] Retail Sales Team Manager,L'Oreal,서울,strategy · Decide to prioritizes according to short/mid/long term business plan · Improve operational procedures to ensure...
https://kr.indeed.com/viewjob?jk=a7fd1998db48f335 ,Salesforce Developer,IQVIA,서울,"time, costs and results Define and implement long- term technical architectures / integrations - sustainable - scalable..."
https://kr.indeed.com/viewjob?jk=dd0b94014e0e01b2 ,Supervisory Human Resources Specialist,US US Army Civilian Human Resources Agency,대한민국,Land & base management Certain current or former term or temporary federal employees of a land or base management agency...
https://kr.indeed.com/viewjob?jk=5d45a4c7bfb593de ,[해외취업] 플라스틱 사출&무역물류 전문기업 / 회계관리 부문 인턴사원,사이다링크,서울 논현동,your outcome in mind. We strive to create a long term personalized relationship with all our clients by demonstrating premium...
https://kr.indeed.com/viewjob?jk=c0d8ea628d928f0d ,Sales Executive,LATOKEN,서울,B2B sales/marketing... entrepreneurship is a big advantage. Long- term belief... future of asset tokenization. Strong...
https://kr.indeed.com/viewjob?jk=60d1990c0bf0e69c ,"NMD Marketing Manager, South Korea",Biogen,서울,ALS product Participate in designing and updating long- term strategic plans Design MKT tactics/materials and implement...
https://kr.indeed.com/viewjob?jk=48e738d6a6b3e629 ,Material Planner,Dupont,충청남도 천안,contracts or purchase orders. Lead resolution of short- term supply/demand imbalances. Participates in weekly planning...
https://kr.indeed.com/viewjob?jk=42be7891a6e593a4 ,[SIMULIA] Sales Expert,Dassault Systèmes,서울,Brand promises to get customer commitment on a long- term business transformation. Role description - Demonstrate value...
https://kr.indeed.com/viewjob?jk=ceef0679e7de33fa ,Brand Manager,Takeda Pharmaceutical,서울,"forecasting long- term and market trend... trend Marketing plan development: long– term business plan, strategic marketing plan..."
https://kr.indeed.com/viewjob?jk=35ada3f7ce6dfb09 ,"People Operations Partner, Busan & Ulsan...",PPG Industries,부산,Manage communication and contract renewal process of fixed term employees. Work... manager... restructuring case...
https://kr.indeed.com/viewjob?jk=0bb37e09d5a2303d ,Field Based Digital Specialist,Amgen,서울,"system, contents and competency of remote detailer Long- term target with virtual engagement for clinic sector, Pharmacy..."
https://kr.indeed.com/viewjob?jk=49220b4afa105236 ,Financial Accountant,Google,서울,"deliverables... name Google came from ""googol,"" a mathematical term... number 1 followed by 100 zeros. And nobody..."
https://kr.indeed.com/viewjob?jk=7fe887442b5d19bf ,Assistant Accountant (Fixed Term Contrac...,BD,서울,General Assistant Accountant with fresh graduated. Job Description KEY RESULT AREAS: (1 year contract) 1 GENERAL...
https://kr.indeed.com/viewjob?jk=86de7094b74c4b25 ,Director of Banquets,Four Seasons,서울,director of banquets is accountable for long- and short- term planning... day-to-day operations of his or her banquet...
https://kr.indeed.com/viewjob?jk=3992e9fb44f365e0 ,"Assoc Spec, Sales",Edwards Lifesciences,서울,"meet sales targets while contributing to development of short- term region plan • Builds and manages strong, long-lasting..."
https://kr.indeed.com/viewjob?jk=f0ac09b6e56ee3b6 ,Special Operations Certified Athletic Tr...,KBR,대한민국,Centers (HPTCs). Assist... preparation of short and long- term fiscal plans. Submit input... HP program Manager...
https://kr.indeed.com/viewjob?jk=0830cb365f87d48e ,"MITG Sales Rep I-II, Reg/Ctry",메드트로닉코리아,서울 강남구,"Responsible for developing, building, and strengthening long- term relationships with stakeholders including distributors..."
https://kr.indeed.com/viewjob?jk=b7e644c916e664f1 ,Intern - Programme Management,United Nations ESCAP,인천,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
https://kr.indeed.com/viewjob?jk=fda1d905b88a7066 ,메이저 상장 제약사 R&D전략 기획(License-In & License...,메이저 상장 제약사 R&D전략 기획팀 (정규직) 과장~차장 ASAP,서울 종로구,"담당업무* - 라이선스 딜 구조 검토, 수립 및 평가(License-In & License-Out) - Term Sheet 검토, 제안, 평가 및 협상 - 파트너링 미팅(영어 사용 가능자) - 물질 가치평가(DCF..."
https://kr.indeed.com/viewjob?jk=cbea895a6d053c98 ,Head of Marketing (상무),외국계 유명 소비재사,서울,reflecting company's global strategies and led long/short term brand plans based on consumer and customer insights * Develop...
https://kr.indeed.com/viewjob?jk=bd518a3019e9f8c8 ,Intern (August 2021,Macquarie Group Limited,서울,"principal investment. Job no: MAM-957512 Work type: Fixed term Location: Seoul Category: Junior, Asset Management, Graduate..."
https://kr.indeed.com/viewjob?jk=5d614243ffffdc18 ,SR HSE Engineer Kunsan AB,Honeywell,서울,culture. The role... approximately a 27 months fixed term contract based at our Kunsan Air Base. Key Responsibilities...
https://kr.indeed.com/viewjob?jk=419692b3ddb34768 ,Analytics Specialist,MightyHive,서울,drive long- term value... role focuses... uncover opportunities to drive long- term value Business Facing Project manage...
https://kr.indeed.com/viewjob?jk=507dd34cb15dd818 ,Business Development Representative,Denodo Technologies,서울,Ability and capacity to qualify the account for short- and medium- term opportunities. Accurately update Customer Relationship...
https://kr.indeed.com/viewjob?jk=269af6aad00da87b ,Oracle Architect V,Oracle,서울,technology strategy that delivers... customer’s long- term business and digital goals. The Executive Architect can...
https://kr.indeed.com/viewjob?jk=2a18b5bf84c6aa36 ,Technical Enablement Manager - Seoul,Datadog,서울,continues to innovate... well positioned... long term. Equal Opportunity at Datadog: Datadog is an Affirmative...
https://kr.indeed.com/viewjob?jk=8d4a25c8d3de08e8 ,Brand Manager,Success Korea,대한민국,programs directed at HCP & consumer to help deliver long term business goals for assigned brands. - Development of Public...
https://kr.indeed.com/viewjob?jk=22cec4eed54fc335 ,Clinical Trial Assistant,Docs Global,서울,provide them with opportunities to develop... long- term career. It takes courage to move from one job to another...
https://kr.indeed.com/viewjob?jk=991fc58550549fe7 ,[제약] Supply Chain Planner,Merck KGaA Darmstadt Germany,서울,"sales potential. Contacting point... distributors in term of all inbound process, logistic planning and warehousing..."
https://kr.indeed.com/viewjob?jk=515cd9e218bfb136 ,UX Project Manager,Asiance,서울,품권 지급 Working from home Leaving work at 4 o'clock on Long- term employee Chuseok & every Wednesday (Flexible) the last Friday...
https://kr.indeed.com/viewjob?jk=8192df5c6154b511 ,[ASAP] Hiring Summer Program Instructors...,One-Stop Prep,서울 압구정역,provided after successful completion of contracted term. [Housing Support] Company will provide housing stipend...
https://kr.indeed.com/viewjob?jk=3b86f47a83a71e6c ,Field Application Scientist - Tissue Spe...,10x Genomics,서울,"scientific discussions with customers, cultivating long term relationships • Create and maintain positive working..."
https://kr.indeed.com/viewjob?jk=7e985a3759dcdeef ,Administrative Specialist,US Joint Activities,대한민국,Land & base management Certain current or former term or temporary federal employees of a land or base management agency...
https://kr.indeed.com/viewjob?jk=fbc910c7a89fc1b5 ,27040 - IT Support Branch & Securities,Credit Suisse,대한민국,"initiatives. Documentation and end user education in term of application usage, security and best practices. IT Application..."
https://kr.indeed.com/viewjob?jk=a478d8ea258fde0c ,Kakao Specialist,Asiance,서울,품권 지급 Working from home Leaving work at 4 o'clock on Long- term employee Chuseok & every Wednesday (Flexible) the last Friday...
https://kr.indeed.com/viewjob?jk=aec461f105d1cb32 ,"Sr. Containers Specialist, Korea",Amazon Web Services Korea LLC,서울,day-to-day interactions that identify prospects for long- term business opportunities. You... single-threaded owner...
https://kr.indeed.com/viewjob?jk=340896135aabbc46 ,Research&CGT Key account manager,Cytiva,서울,so you can grow your career and expand your skills... long term. Cytiva is proud to work alongside a community of nine...
https://kr.indeed.com/viewjob?jk=00e5affea8062bfb ,Technical Product Specialist,Eppendorf,서울,provide end-user training certificates... one year fixed term position Your expertise: Bachelor’s Degree in Sciences...
https://kr.indeed.com/viewjob?jk=0cdc5a91b04d5220 ,EHS Technician (안전환경보건 담당 - 평택) 계약직,Merck KGaA Darmstadt Germany,경기도 안산,"cause analysis, and action management for serious short- term accidents and personal accidents. Records safety activities..."
https://kr.indeed.com/viewjob?jk=3766c0f8acc3f7d8 ,"Victim Advocate, FASS",Magellan Health,대한민국,offending caregivers about the dynamics and possible long- term consequences of child abuse Assess family needs and encourage...
